,Environment,alpha
W0,Site 1,0.26936021069942684
W1,Site 1,0.37729556615120174
W2,Site 1,0.5372433744269033
W3,Site 1,0.4219177139573673
W4,Site 1,0.07815906810952311
W5,Site 1,0.20326027185021933
W6,Site 1,0.9961484018421348
W7,Site 1,0.8946582509488284
W8,Site 1,0.6438068509048998
W9,Site 1,0.9465804200874319
W10,Site 1,0.7829865315060022
W11,Site 1,0.6067097642418081
W12,Site 1,0.8704402840060467
W13,Site 1,0.5668624809810018
W14,Site 1,0.4559098465817544
W15,Site 1,0.4573773222800804
W16,Site 1,0.8015134588471229
W17,Site 1,0.7729107023571468
W18,Site 1,0.005792892228686508
W19,Site 1,0.9943758612113108
W20,Site 1,0.7220348120790459
W21,Site 1,0.6224071548410142
W22,Site 1,0.2542294806806128
W23,Site 1,0.4053787427275124
W24,Site 1,0.994327354376754
W25,Site 1,0.23290959351365206
W26,Site 1,0.6663642421994602
W27,Site 1,0.2435100845419957
W28,Site 1,0.9966403603267848
W29,Site 1,0.7026725805845188
W30,Site 1,0.34849460395843024
W31,Site 1,0.8394840929465739
W32,Site 1,0.2691338020962051
W33,Site 1,0.8501226144028688
W34,Site 1,0.7665665225835494
W35,Site 1,0.5923533117831437
W36,Site 1,0.4298339659130848
W37,Site 1,0.6230124517488292
W38,Site 1,0.9455276400556512
W39,Site 1,0.2697355248257165
W40,Site 1,0.5755616680390644
W41,Site 1,0.8695751614648268
W42,Site 1,0.4023212073277854
W43,Site 1,0.29558337591306505
W44,Site 1,0.631805357969251
W45,Site 1,0.8336891522906785
W46,Site 1,0.7383190919344214
W47,Site 1,0.8998495474528813
W48,Site 1,0.5166251056456479
W49,Site 1,0.6002311019768132
W50,Site 1,0.420217542537878
W51,Site 1,0.44924326544950144
W52,Site 1,0.8719353623986236
W53,Site 1,0.9946957018663396
W54,Site 1,0.3339344201412492
W55,Site 1,0.8052031285721581
W56,Site 1,0.7157807938442593
W57,Site 1,0.1995642987608086
W58,Site 1,0.8103582541427162
W59,Site 1,0.4506957258660264
W60,Site 1,0.9894259979236114
W61,Site 1,0.4492868284532354
W62,Site 1,0.9965458342328476
W63,Site 1,0.44152150512402333
W64,Site 1,0.4417009911828093
W65,Site 1,0.6410440663392705
W66,Site 1,0.4671052955423233
W67,Site 1,0.38221462700342346
W68,Site 1,0.5233668709370772
W69,Site 1,0.23127366396895266
W70,Site 1,0.39301506492202576
W71,Site 1,0.06517079076682364
