,,W0,W1,W2
F0,S0,1.8480547478192737e-05,5.678792945197743e-07,2.170592685331971e-08
F0,S1,8.902539078509453e-06,5.869352507308232e-07,2.246087644356925e-08
F0,S2,8.898886847698616e-06,5.929616165180124e-07,2.247023292075979e-08
F0,S3,1.9148558977199523e-05,5.778046728229252e-07,2.3654619772792025e-08
F0,S4,1.5711487112890947e-05,5.961353235465901e-07,2.2907597366946514e-08
F0,S5,1.5913176045525076e-05,5.710612185772469e-07,2.3661896239539455e-08
F0,S6,1.2584426802767656e-05,6.213465769223248e-07,2.3845104119950764e-08
F0,S7,9.725383848925753e-06,6.063730938439661e-07,2.2808963132999963e-08
F0,S8,9.571881095699168e-06,6.056984487033547e-07,2.302492087569566e-08
F0,S9,8.547082733994546e-06,5.982957426325767e-07,2.268861193393021e-08
F0,S10,2.1556983607549232e-05,6.972927032636404e-07,2.5583245610152772e-08
F0,S11,1.0666073575969352e-05,5.995468194247835e-07,2.3028949154074166e-08
F0,S12,1.3024561428494123e-05,5.922156723968119e-07,2.2921498368838965e-08
F0,S13,1.252231932635701e-05,5.677162053938913e-07,2.1976749782886297e-08
F0,S14,9.90733060647101e-06,6.250544373140229e-07,2.3062991968651347e-08
F0,S15,2.603698507070683e-05,6.151727740442513e-07,2.673711644138349e-08
F0,S16,1.2829909660860947e-05,5.906622197400432e-07,2.463278274687996e-08
F0,S17,9.053020532962383e-06,6.154736333287404e-07,2.298678579253977e-08
F0,S18,1.3777834678257702e-05,6.086172647343088e-07,2.377084837231828e-08
F0,S19,1.7647470566808944e-05,9.523480701319256e-07,4.674146734032767e-08
F0,S20,2.4716153185708816e-05,6.88120414046739e-07,2.5719336101899187e-08
F0,S21,9.508203291867057e-06,6.343318879901183e-07,2.2910637198575915e-08
F0,S22,1.0314111690077937e-05,6.379421368552442e-07,2.4055919515630103e-08
F0,S23,2.3088514588259136e-05,8.130442880579289e-07,2.9874058242478764e-08
F0,S24,1.0982775222940526e-05,5.954900518463984e-07,2.3078846531773768e-08
F0,S25,2.6158426256264544e-05,8.957348483849651e-07,3.07350087273961e-08
F0,S26,2.290934038542734e-05,6.62429275187774e-07,2.753073577274234e-08
